CUSTOMER_ID,SHIP_TO_ADDRESS,BILLING_ADDRESS,PHONE_NUMBER,NOTES,ADDRESS_ADDRESS_ID,DUMMY_ID
56,02,19th Floor,394-930-0560,"Vivamus tortor. Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",56,56
57,04,7th Floor,480-192-3289,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",57,57
58,04,PO Box 32312,536-918-7730,Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl.,58,58
59,05,Room 1480,606-556-9552,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.,59,59
60,03,Apt 192,458-750-3274,Pellentesque ultrices mattis odio.,60,60
61,03,4th Floor,506-449-7555,Phasellus sit amet erat.,61,61
62,05,Room 1588,810-390-5352,Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla.,62,62
63,04,PO Box 55569,432-725-4677,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.,63,63
64,01,Room 665,804-896-5012,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat.",64,64
65,02,8th Floor,361-941-7382,Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio.,65,65
66,05,Suite 9,633-615-9703,In quis justo. Maecenas rhoncus aliquam lacus.,66,66
67,01,PO Box 34252,800-812-7456,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus.",67,67
68,01,Suite 30,895-112-7403,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,68,68
69,04,9th Floor,210-968-7915,Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.,69,69
70,02,Apt 499,993-891-2746,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.",70,70
71,01,PO Box 66281,591-632-0797,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.",71,71
72,01,Suite 43,876-981-9582,"Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",72,72
73,03,Suite 31,688-794-0394,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl. Nunc nisl.",73,73
74,04,Suite 28,992-845-7599,Curabitur convallis.,74,74
75,03,Suite 60,684-809-3190,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",75,75
76,05,PO Box 5471,871-476-9038,Nulla ac enim.,76,76
77,01,Apt 694,899-272-3297,Fusce posuere felis sed lacus.,77,77
78,05,Apt 21,414-282-7038,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.,78,78
79,04,12th Floor,224-564-5834,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.",79,79
80,04,Apt 224,453-113-1519,"Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim.",80,80
81,03,Suite 69,320-479-0047,Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo.,81,81
82,04,7th Floor,652-829-5121,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti.",82,82
83,03,16th Floor,200-537-1713,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus.,83,83
84,05,PO Box 67979,645-544-6146,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.",84,84
85,05,Suite 42,901-412-5492,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue.",85,85
86,01,Room 1984,643-393-4663,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",86,86
87,02,Apt 963,802-207-8522,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",87,87
88,05,Suite 91,225-354-0834,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",88,88
89,03,PO Box 20835,356-939-4148,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.",89,89
90,02,16th Floor,861-557-5890,"Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",90,90
91,03,Apt 756,478-166-6510,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.",91,91
92,01,PO Box 11983,992-583-4523,Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,92,92
93,02,Apt 1400,780-243-7988,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",93,93
94,03,Room 9,113-772-7412,Nulla facilisi.,94,94
95,01,Suite 50,403-928-9779,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",95,95
96,02,Room 888,489-738-7355,Nulla ut erat id mauris vulputate elementum. Nullam varius.,96,96
97,05,PO Box 7121,961-814-4416,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,97,97
98,02,PO Box 46612,829-477-2894,"Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",98,98
99,03,19th Floor,909-115-6458,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue.",99,99
100,02,1st Floor,269-617-4790,Nunc purus. Phasellus in felis.,100,100
101,03,PO Box 76470,293-394-0747,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus.",101,101
102,05,Suite 41,199-532-8654,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",102,102
103,01,PO Box 27582,695-904-2203,Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.,103,103
104,02,Apt 895,883-592-3294,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.",104,104
105,02,Room 1404,988-166-1900,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,105,105
106,05,Room 1756,408-895-2741,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",106,106
107,05,Room 1894,202-718-6234,Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,107,107
108,03,16th Floor,819-614-5242,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",108,108
109,02,Room 215,872-498-8125,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula.",109,109
110,02,Suite 23,711-848-1579,Phasellus in felis. Donec semper sapien a libero.,110,110
111,03,PO Box 74488,706-665-7891,Nulla mollis molestie lorem.,111,111
112,03,15th Floor,290-655-3359,Duis aliquam convallis nunc.,112,112
113,02,19th Floor,236-747-8499,Morbi ut odio.,113,113
114,05,Suite 82,943-988-5098,Maecenas pulvinar lobortis est.,114,114
115,02,20th Floor,536-713-3091,Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum.,115,115
116,01,Suite 42,779-838-4812,Quisque ut erat. Curabitur gravida nisi at nibh.,116,116
117,02,Apt 1259,131-550-5944,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,117,117
118,04,Room 1095,725-887-8656,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",118,118
119,04,Suite 71,785-132-9529,"Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",119,119
120,03,Room 700,787-483-1671,Morbi vel lectus in quam fringilla rhoncus.,120,120
121,02,Room 1969,606-456-0698,Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum.,121,121
122,04,Apt 1005,301-360-1900,Nullam molestie nibh in lectus.,122,122
123,04,Suite 79,366-542-7597,Nulla mollis molestie lorem.,123,123
124,01,PO Box 2909,577-791-8946,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",124,124
125,01,PO Box 63116,181-956-9494,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",125,125
126,01,Apt 587,145-360-6006,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,126,126
127,02,PO Box 21286,305-849-8714,"Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",127,127
128,02,9th Floor,193-392-9306,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl. Nunc nisl.",128,128
129,04,Apt 241,929-602-8186,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",129,129
130,04,Room 1728,213-925-3723,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.",130,130
131,02,PO Box 90188,766-943-8063,Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,131,131
132,03,15th Floor,296-150-3800,Curabitur convallis.,132,132
133,02,1st Floor,531-294-6837,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus.,133,133
134,05,Suite 49,530-701-9096,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti.",134,134
135,01,Apt 1253,843-207-1457,"Phasellus in felis. Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",135,135
136,05,9th Floor,546-213-6060,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",136,136
137,05,Room 1719,399-955-0305,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.,137,137
138,05,PO Box 33655,988-359-4163,"Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",138,138
139,05,19th Floor,864-237-7942,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.,139,139
140,01,20th Floor,190-784-1805,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus.",140,140
141,01,Room 728,232-233-4166,"Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",141,141
142,01,Room 578,292-696-5726,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",142,142
143,03,Apt 1961,189-866-8045,Vivamus in felis eu sapien cursus vestibulum.,143,143
144,02,Apt 1203,333-240-6563,Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,144,144
145,03,PO Box 43272,498-874-4106,Nam nulla.,145,145
146,04,20th Floor,193-902-7197,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",146,146
147,03,3rd Floor,989-481-4484,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh.,147,147
148,01,Suite 93,356-565-3460,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",148,148
149,03,PO Box 66850,702-912-4443,Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,149,149
150,04,Apt 1017,301-270-8620,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl. Nunc nisl.",150,150
151,03,PO Box 26484,192-219-4705,Etiam vel augue.,151,151
152,04,Room 1229,151-761-5432,In hac habitasse platea dictumst. Etiam faucibus cursus urna.,152,152
153,03,Room 390,939-533-3768,Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.,153,153
154,01,Suite 92,214-441-3964,Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.,154,154
155,03,9th Floor,737-543-4014,Phasellus in felis. Donec semper sapien a libero. Nam dui.,155,155
156,01,Suite 30,165-524-1878,Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla.,156,156
157,05,Suite 95,896-285-3029,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,157,157
158,03,Suite 85,739-416-2840,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",158,158
159,04,Apt 1753,537-746-1750,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",159,159
160,03,Suite 84,304-745-3588,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum.",160,160
161,05,Apt 288,507-152-7697,Duis mattis egestas metus.,161,161
162,02,PO Box 25911,384-892-8692,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus.,162,162
163,04,Suite 80,231-517-3087,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.",163,163
164,02,Room 1257,613-693-6167,"Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",164,164
165,03,Room 1372,411-484-3903,"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",165,165
166,01,Suite 72,193-489-4983,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus.,166,166
167,04,Suite 83,984-332-1778,"Phasellus in felis. Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis.",167,167
168,01,Apt 1392,881-543-0639,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",168,168
169,03,13th Floor,714-785-5833,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,169,169
170,04,Room 1825,378-111-6950,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.",170,170
171,01,18th Floor,266-778-0836,"Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc.",171,171
172,03,Suite 93,769-500-5268,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",172,172
